"year","location","plot","replicate","trt","depth","vwc","plot_in_block","block"
"2014","Lamberton",2106,1,"Kernza/Alfalfa 40 kg N","50cm depth",0.1768,6,"Block 1"
"2014","Lamberton",2106,1,"Kernza/Alfalfa 40 kg N","100cm depth",0.1547,6,"Block 1"
"2014","Lamberton",2111,1,"120 kg N","50cm depth",0.1899,11,"Block 1"
"2014","Lamberton",2111,1,"120 kg N","100cm depth",0.1456,11,"Block 1"
"2014","Lamberton",2116,1,"60 kg N","50cm depth",0.1791,16,"Block 1"
"2014","Lamberton",2116,1,"60 kg N","100cm depth",0.1551,16,"Block 1"
"2014","Lamberton",2121,1,"0 kg N","50cm depth",NA,21,"Block 1"
"2014","Lamberton",2121,1,"0 kg N","100cm depth",NA,21,"Block 1"
"2014","Lamberton",2203,2,"60 kg N","50cm depth",0.2235,3,"Block 2"
"2014","Lamberton",2203,2,"60 kg N","100cm depth",0.1925,3,"Block 2"
"2014","Lamberton",2213,2,"120 kg N","50cm depth",0.2065,13,"Block 2"
"2014","Lamberton",2213,2,"120 kg N","100cm depth",0.2032,13,"Block 2"
"2014","Lamberton",2218,2,"Kernza/Alfalfa 40 kg N","50cm depth",0.1987,18,"Block 2"
"2014","Lamberton",2218,2,"Kernza/Alfalfa 40 kg N","100cm depth",0.1836,18,"Block 2"
"2014","Lamberton",2223,2,"0 kg N","50cm depth",NA,23,"Block 2"
"2014","Lamberton",2223,2,"0 kg N","100cm depth",NA,23,"Block 2"
"2014","Lamberton",2304,3,"120 kg N","50cm depth",0.2366,4,"Block 3"
"2014","Lamberton",2304,3,"120 kg N","100cm depth",0.2495,4,"Block 3"
"2014","Lamberton",2309,3,"Kernza/Alfalfa 40 kg N","50cm depth",0.2329,9,"Block 3"
"2014","Lamberton",2309,3,"Kernza/Alfalfa 40 kg N","100cm depth",0.229,9,"Block 3"
"2014","Lamberton",2319,3,"60 kg N","50cm depth",0.2326,19,"Block 3"
"2014","Lamberton",2319,3,"60 kg N","100cm depth",0.1878,19,"Block 3"
"2014","Lamberton",2324,3,"0 kg N","50cm depth",NA,24,"Block 3"
"2014","Lamberton",2324,3,"0 kg N","100cm depth",NA,24,"Block 3"
"2014","Lamberton",2407,4,"0 kg N","50cm depth",NA,7,"Block 4"
"2014","Lamberton",2407,4,"0 kg N","100cm depth",NA,7,"Block 4"
"2014","Lamberton",2412,4,"Kernza/Alfalfa 40 kg N","50cm depth",0.2307,12,"Block 4"
"2014","Lamberton",2412,4,"Kernza/Alfalfa 40 kg N","100cm depth",0.1941,12,"Block 4"
"2014","Lamberton",2417,4,"60 kg N","50cm depth",0.2632,17,"Block 4"
"2014","Lamberton",2417,4,"60 kg N","100cm depth",0.1664,17,"Block 4"
"2014","Lamberton",2422,4,"120 kg N","50cm depth",0.2606,22,"Block 4"
"2014","Lamberton",2422,4,"120 kg N","100cm depth",0.2202,22,"Block 4"
"2014","Waseca",1105,1,"60 kg N","50cm depth",0.3029,5,"Block 1"
"2014","Waseca",1105,1,"60 kg N","100cm depth",0.16,5,"Block 1"
"2014","Waseca",1110,1,"Kernza/Alfalfa 40 kg N","50cm depth",0.2612,10,"Block 1"
"2014","Waseca",1110,1,"Kernza/Alfalfa 40 kg N","100cm depth",0.1767,10,"Block 1"
"2014","Waseca",1115,1,"120 kg N","50cm depth",0.1941,15,"Block 1"
"2014","Waseca",1115,1,"120 kg N","100cm depth",0.2632,15,"Block 1"
"2014","Waseca",1125,1,"0 kg N","50cm depth",NA,25,"Block 1"
"2014","Waseca",1125,1,"0 kg N","100cm depth",NA,25,"Block 1"
"2014","Waseca",1202,2,"Kernza/Alfalfa 40 kg N","50cm depth",0.2649,2,"Block 2"
"2014","Waseca",1202,2,"Kernza/Alfalfa 40 kg N","100cm depth",0.239,2,"Block 2"
"2014","Waseca",1207,2,"60 kg N","50cm depth",0.2622,7,"Block 2"
"2014","Waseca",1207,2,"60 kg N","100cm depth",0.2007,7,"Block 2"
"2014","Waseca",1217,2,"0 kg N","50cm depth",NA,17,"Block 2"
"2014","Waseca",1217,2,"0 kg N","100cm depth",NA,17,"Block 2"
"2014","Waseca",1222,2,"120 kg N","50cm depth",0.2205,22,"Block 2"
"2014","Waseca",1222,2,"120 kg N","100cm depth",0.2258,22,"Block 2"
"2014","Waseca",1303,3,"120 kg N","50cm depth",0.2676,3,"Block 3"
"2014","Waseca",1303,3,"120 kg N","100cm depth",0.2873,3,"Block 3"
"2014","Waseca",1308,3,"60 kg N","50cm depth",0.2331,8,"Block 3"
"2014","Waseca",1308,3,"60 kg N","100cm depth",0.276,8,"Block 3"
"2014","Waseca",1313,3,"0 kg N","50cm depth",NA,13,"Block 3"
"2014","Waseca",1313,3,"0 kg N","100cm depth",NA,13,"Block 3"
"2014","Waseca",1323,3,"Kernza/Alfalfa 40 kg N","50cm depth",0.3176,23,"Block 3"
"2014","Waseca",1323,3,"Kernza/Alfalfa 40 kg N","100cm depth",0.2146,23,"Block 3"
"2014","Waseca",1401,4,"Kernza/Alfalfa 40 kg N","50cm depth",0.2267,1,"Block 4"
"2014","Waseca",1401,4,"Kernza/Alfalfa 40 kg N","100cm depth",0.2694,1,"Block 4"
"2014","Waseca",1411,4,"60 kg N","50cm depth",0.2363,11,"Block 4"
"2014","Waseca",1411,4,"60 kg N","100cm depth",0.2902,11,"Block 4"
"2014","Waseca",1416,4,"0 kg N","50cm depth",NA,16,"Block 4"
"2014","Waseca",1416,4,"0 kg N","100cm depth",NA,16,"Block 4"
"2014","Waseca",1421,4,"120 kg N","50cm depth",0.2622,21,"Block 4"
"2014","Waseca",1421,4,"120 kg N","100cm depth",0.287,21,"Block 4"
"2015","Lamberton",2106,1,"Kernza/Alfalfa 40 kg N","50cm depth",0.1594,6,"Block 1"
"2015","Lamberton",2106,1,"Kernza/Alfalfa 40 kg N","100cm depth",0.1281,6,"Block 1"
"2015","Lamberton",2111,1,"120 kg N","50cm depth",0.1427,11,"Block 1"
"2015","Lamberton",2111,1,"120 kg N","100cm depth",0.1338,11,"Block 1"
"2015","Lamberton",2116,1,"60 kg N","50cm depth",0.1381,16,"Block 1"
"2015","Lamberton",2116,1,"60 kg N","100cm depth",0.1438,16,"Block 1"
"2015","Lamberton",2121,1,"0 kg N","50cm depth",NA,21,"Block 1"
"2015","Lamberton",2121,1,"0 kg N","100cm depth",NA,21,"Block 1"
"2015","Lamberton",2203,2,"60 kg N","50cm depth",0.2571,3,"Block 2"
"2015","Lamberton",2203,2,"60 kg N","100cm depth",0.2275,3,"Block 2"
"2015","Lamberton",2213,2,"120 kg N","50cm depth",0.1648,13,"Block 2"
"2015","Lamberton",2213,2,"120 kg N","100cm depth",0.1592,13,"Block 2"
"2015","Lamberton",2218,2,"Kernza/Alfalfa 40 kg N","50cm depth",0.2044,18,"Block 2"
"2015","Lamberton",2218,2,"Kernza/Alfalfa 40 kg N","100cm depth",0.2248,18,"Block 2"
"2015","Lamberton",2223,2,"0 kg N","50cm depth",NA,23,"Block 2"
"2015","Lamberton",2223,2,"0 kg N","100cm depth",NA,23,"Block 2"
"2015","Lamberton",2304,3,"120 kg N","50cm depth",0.3316,4,"Block 3"
"2015","Lamberton",2304,3,"120 kg N","100cm depth",0.3343,4,"Block 3"
"2015","Lamberton",2309,3,"Kernza/Alfalfa 40 kg N","50cm depth",0.3279,9,"Block 3"
"2015","Lamberton",2309,3,"Kernza/Alfalfa 40 kg N","100cm depth",0.3569,9,"Block 3"
"2015","Lamberton",2319,3,"60 kg N","50cm depth",0.3177,19,"Block 3"
"2015","Lamberton",2319,3,"60 kg N","100cm depth",0.2957,19,"Block 3"
"2015","Lamberton",2324,3,"0 kg N","50cm depth",NA,24,"Block 3"
"2015","Lamberton",2324,3,"0 kg N","100cm depth",NA,24,"Block 3"
"2015","Lamberton",2407,4,"0 kg N","50cm depth",NA,7,"Block 4"
"2015","Lamberton",2407,4,"0 kg N","100cm depth",NA,7,"Block 4"
"2015","Lamberton",2412,4,"Kernza/Alfalfa 40 kg N","50cm depth",0.2717,12,"Block 4"
"2015","Lamberton",2412,4,"Kernza/Alfalfa 40 kg N","100cm depth",0.252,12,"Block 4"
"2015","Lamberton",2417,4,"60 kg N","50cm depth",0.292,17,"Block 4"
"2015","Lamberton",2417,4,"60 kg N","100cm depth",0.2517,17,"Block 4"
"2015","Lamberton",2422,4,"120 kg N","50cm depth",0.3611,22,"Block 4"
"2015","Lamberton",2422,4,"120 kg N","100cm depth",0.3012,22,"Block 4"
"2015","Waseca",1105,1,"60 kg N","50cm depth",0.3661,5,"Block 1"
"2015","Waseca",1105,1,"60 kg N","100cm depth",0.1651,5,"Block 1"
"2015","Waseca",1110,1,"Kernza/Alfalfa 40 kg N","50cm depth",0.2998,10,"Block 1"
"2015","Waseca",1110,1,"Kernza/Alfalfa 40 kg N","100cm depth",0.2092,10,"Block 1"
"2015","Waseca",1115,1,"120 kg N","50cm depth",0.2211,15,"Block 1"
"2015","Waseca",1115,1,"120 kg N","100cm depth",0.2361,15,"Block 1"
"2015","Waseca",1125,1,"0 kg N","50cm depth",NA,25,"Block 1"
"2015","Waseca",1125,1,"0 kg N","100cm depth",NA,25,"Block 1"
"2015","Waseca",1202,2,"Kernza/Alfalfa 40 kg N","50cm depth",0.2776,2,"Block 2"
"2015","Waseca",1202,2,"Kernza/Alfalfa 40 kg N","100cm depth",0.2127,2,"Block 2"
"2015","Waseca",1207,2,"60 kg N","50cm depth",0.2498,7,"Block 2"
"2015","Waseca",1207,2,"60 kg N","100cm depth",0.1585,7,"Block 2"
"2015","Waseca",1217,2,"0 kg N","50cm depth",NA,17,"Block 2"
"2015","Waseca",1217,2,"0 kg N","100cm depth",NA,17,"Block 2"
"2015","Waseca",1222,2,"120 kg N","50cm depth",0.2126,22,"Block 2"
"2015","Waseca",1222,2,"120 kg N","100cm depth",0.1776,22,"Block 2"
"2015","Waseca",1303,3,"120 kg N","50cm depth",0.3041,3,"Block 3"
"2015","Waseca",1303,3,"120 kg N","100cm depth",0.2844,3,"Block 3"
"2015","Waseca",1308,3,"60 kg N","50cm depth",0.2701,8,"Block 3"
"2015","Waseca",1308,3,"60 kg N","100cm depth",0.266,8,"Block 3"
"2015","Waseca",1313,3,"0 kg N","50cm depth",NA,13,"Block 3"
"2015","Waseca",1313,3,"0 kg N","100cm depth",NA,13,"Block 3"
"2015","Waseca",1323,3,"Kernza/Alfalfa 40 kg N","50cm depth",0.3603,23,"Block 3"
"2015","Waseca",1323,3,"Kernza/Alfalfa 40 kg N","100cm depth",0.2172,23,"Block 3"
"2015","Waseca",1401,4,"Kernza/Alfalfa 40 kg N","50cm depth",0.2597,1,"Block 4"
"2015","Waseca",1401,4,"Kernza/Alfalfa 40 kg N","100cm depth",0.314,1,"Block 4"
"2015","Waseca",1411,4,"60 kg N","50cm depth",0.3041,11,"Block 4"
"2015","Waseca",1411,4,"60 kg N","100cm depth",0.3332,11,"Block 4"
"2015","Waseca",1416,4,"0 kg N","50cm depth",NA,16,"Block 4"
"2015","Waseca",1416,4,"0 kg N","100cm depth",NA,16,"Block 4"
"2015","Waseca",1421,4,"120 kg N","50cm depth",0.2956,21,"Block 4"
"2015","Waseca",1421,4,"120 kg N","100cm depth",0.3597,21,"Block 4"
